"Date","Strain","sibling","allele","genotype","UV_dose","Suv_samples","Suv_ave","Suv_se","Rev_samples","Rev_ave","Rev_se"
"220812","KNT-Op46-04","Op46","OGW1","wild-type",60,3,905.333333333333,10.137937550497,3,2,1.52752523165195
"220812","KNT-Op46-04","Op46","OGW1","wild-type",90,3,823.666666666667,28.9501487234714,3,7,1.73205080756888
"220812","KNT-Op46-04","Op46","OGW1","wild-type",120,3,784,3.60555127546399,3,6.33333333333333,1.76383420737639
"220812","KNT-Op55-01","Op55","OGW1","wild-type",0,3,870.333333333333,35.2435967391399,3,1.66666666666667,0.881917103688197
"220812","KNT-Op55-01","Op55","OGW1","wild-type",60,3,852,37.5410886008029,3,5.33333333333333,1.45296631451356
"220812","KNT-Op55-01","Op55","OGW1","wild-type",90,3,835.333333333333,47.6421848552077,3,7.66666666666667,1.20185042515466
"220812","KNT-Op55-01","Op55","OGW1","wild-type",120,3,824,40.2533642486356,3,11.6666666666667,2.60341655863555
"220826","KNT-Op47-01","Op47","B36","wild-type",0,3,904,19.672315572906,3,0,0
"220826","KNT-Op47-01","Op47","B36","wild-type",60,3,822.333333333333,16.1692437808465,3,2,0
"220826","KNT-Op47-01","Op47","B36","wild-type",90,3,851.666666666667,34.7243110482811,3,0.333333333333333,0.333333333333333
"220826","KNT-Op47-01","Op47","B36","wild-type",120,3,734.666666666667,33.5476443948669,3,0,0
"220826","KNT-Op47-23","Op47","B36","hH3-K4R",0,3,869.666666666667,5.36449231314369,3,0,0
"220826","KNT-Op47-23","Op47","B36","hH3-K4R",60,3,873,3.05505046330389,3,3,0.577350269189626
"220826","KNT-Op47-23","Op47","B36","hH3-K4R",90,3,713,21.6333076527839,3,2.33333333333333,1.20185042515466
"220826","KNT-Op47-23","Op47","B36","hH3-K4R",120,3,757,10.4403065089106,3,2.33333333333333,1.33333333333333
"220826","KNT-Op51-17","Op51","B36","wild-type",0,3,878,32.1299444962691,3,0,0
"220826","KNT-Op51-17","Op51","B36","wild-type",60,3,859.333333333333,19.8774020211674,3,1.33333333333333,0.666666666666667
"220826","KNT-Op51-17","Op51","B36","wild-type",90,3,795.666666666667,81.8562425502444,3,2,1.52752523165195
"220826","KNT-Op51-17","Op51","B36","wild-type",120,3,780.666666666667,9.8375697089158,3,4.66666666666667,0.881917103688197
"220826","KNT-Op51-32","Op51","B36","set-1 KO",0,3,725.666666666667,27.2845092395748,3,0,0
"220826","KNT-Op51-32","Op51","B36","set-1 KO",60,3,530.666666666667,50.3862856120371,3,5.33333333333333,1.85592145427667
"220826","KNT-Op51-32","Op51","B36","set-1 KO",90,3,615,21.1266025033211,3,7,2.3094010767585
